model,lookback,hidden_size,num_layers,rmse,mae,lr
Naive,,,,0.07665020481115323,0.04574698355593628,
MovingAverage_window_5,,,,0.04794831886039985,0.03273006589072429,
LSTM,50.0,64.0,1.0,7.102556804410825,5.22594776179285,
Tuned_LSTM,30.0,32.0,1.0,7.171667194991062,5.324180153667407,0.001
Tuned_LSTM,30.0,32.0,1.0,7.180516746488748,5.268658736133097,0.0005
Tuned_LSTM,30.0,32.0,2.0,7.200418812021746,5.360164501308598,0.001
Tuned_LSTM,30.0,32.0,2.0,7.110976159394564,5.253648663024005,0.0005
Tuned_LSTM,30.0,64.0,1.0,7.156755326591961,5.393402125020772,0.001
Tuned_LSTM,30.0,64.0,1.0,7.187593529601229,5.244637696936082,0.0005
Tuned_LSTM,30.0,64.0,2.0,7.087658516303131,5.295766005193126,0.001
Tuned_LSTM,30.0,64.0,2.0,7.09329677280171,5.213829125518606,0.0005
Tuned_LSTM,50.0,32.0,1.0,7.101459790093192,5.2447861212437905,0.001
Tuned_LSTM,50.0,32.0,1.0,7.2246450011695025,5.422848226667259,0.0005
Tuned_LSTM,50.0,32.0,2.0,7.097184296967961,5.269129276971396,0.001
Tuned_LSTM,50.0,32.0,2.0,7.091078159752142,5.303648205227044,0.0005
Tuned_LSTM,50.0,64.0,1.0,7.115372091501617,5.331543767103564,0.001
Tuned_LSTM,50.0,64.0,1.0,7.175739261691816,5.2749695918825115,0.0005
Tuned_LSTM,50.0,64.0,2.0,7.092844224191745,5.207298976305911,0.001
Tuned_LSTM,50.0,64.0,2.0,7.213100545854043,5.487100514778156,0.0005
Best_LSTM1,50.0,64.0,1.0,7.046737297760864,5.38914206505464,0.0005
