model,lookback,hidden_size,num_layers,rmse,mae,lr
Naive,,,,0.07665020481115323,0.04574698355593628,
MovingAverage_window_5,,,,0.04794831886039985,0.03273006589072429,
LSTM,50.0,64.0,1.0,7.181657778448861,5.345577495833044,
Tuned_LSTM,30.0,32.0,1.0,7.201717724894695,5.271722905149494,0.001
Tuned_LSTM,30.0,32.0,1.0,7.220866735358505,5.3005096055973056,0.0005
Tuned_LSTM,30.0,32.0,2.0,7.140905118216155,5.2535779581430715,0.001
Tuned_LSTM,30.0,32.0,2.0,7.155480676456308,5.308057963802319,0.0005
Tuned_LSTM,30.0,64.0,1.0,7.200015076411918,5.266186256448443,0.001
Tuned_LSTM,30.0,64.0,1.0,7.159690807231924,5.286767024681391,0.0005
Tuned_LSTM,30.0,64.0,2.0,7.161446249371806,5.326722186920989,0.001
Tuned_LSTM,30.0,64.0,2.0,7.139956534510724,5.267522628390591,0.0005
Tuned_LSTM,50.0,32.0,1.0,7.184041032435184,5.348107604050347,0.001
Tuned_LSTM,50.0,32.0,1.0,7.2574320450105905,5.439884023399367,0.0005
Tuned_LSTM,50.0,32.0,2.0,7.127630051829246,5.250236791365929,0.001
Tuned_LSTM,50.0,32.0,2.0,7.14155342346589,5.292717603223896,0.0005
Tuned_LSTM,50.0,64.0,1.0,7.21458540258384,5.276893731983318,0.001
Tuned_LSTM,50.0,64.0,1.0,7.198185310244591,5.293199245161797,0.0005
Tuned_LSTM,50.0,64.0,2.0,7.124419847066389,5.376774782505182,0.001
Tuned_LSTM,50.0,64.0,2.0,7.15789651436196,5.386896748027785,0.0005
Best_LSTM1,50.0,64.0,2.0,6.954006135939257,4.993601120136028,0.001
