model,lookback,hidden_size,num_layers,rmse_target1,mae_target1,rmse_target2,mae_target2,lr,rmse1,mae1,rmse2,mae2
Naive,,,,0.03174686573842088,0.01978577738880769,0.037549360497108074,0.023351861257977405,,,,,
MovingAverage_window_5,,,,0.019074724030239982,0.019074724030239982,0.023299160212764052,0.023299160212764052,,,,,
LSTM,50.0,64.0,1.0,0.038217842986407645,0.032448745581389236,0.058653312429125005,0.04711731923663779,0.001,,,,
Tuned_LSTM,30.0,32.0,1.0,,,,,0.001,0.0387528639429575,0.03297488211464154,0.05775637611619141,0.04649096220557471
Tuned_LSTM,30.0,32.0,1.0,,,,,0.0005,0.040576572787633304,0.03449341729364338,0.05429487173194263,0.04323646426090377
Tuned_LSTM,30.0,32.0,2.0,,,,,0.001,0.040866057982997805,0.03459999628405085,0.05290916679910402,0.04205967425264435
Tuned_LSTM,30.0,32.0,2.0,,,,,0.0005,0.039356877825405485,0.03337835150598072,0.05641593602273049,0.04524039644075151
Tuned_LSTM,30.0,64.0,1.0,,,,,0.001,0.03838229281090057,0.03258875747351737,0.05860131070107456,0.047117737300626135
Tuned_LSTM,30.0,64.0,1.0,,,,,0.0005,0.03834148934170869,0.03259504951659887,0.058246379655719445,0.04697606251752155
Tuned_LSTM,30.0,64.0,2.0,,,,,0.001,0.040866057982997805,0.03459999628405085,0.05292225521550774,0.04207033586968555
Tuned_LSTM,30.0,64.0,2.0,,,,,0.0005,0.039521421898474005,0.03351610004039293,0.05814007755181368,0.04690628705543731
Tuned_LSTM,50.0,32.0,1.0,,,,,0.001,0.03887188828301591,0.033049658126357545,0.05854209222881154,0.04722459606846071
Tuned_LSTM,50.0,32.0,1.0,,,,,0.0005,0.040276057010964074,0.034232723477258864,0.05685986352728257,0.0456589850774742
Tuned_LSTM,50.0,32.0,2.0,,,,,0.001,0.03876230613693916,0.032932878817787385,0.057473817986100684,0.046244089451918574
Tuned_LSTM,50.0,32.0,2.0,,,,,0.0005,0.03840413069262782,0.03261024045587035,0.054834311301817665,0.043737651275923946
Tuned_LSTM,50.0,64.0,1.0,,,,,0.001,0.038074053830846735,0.03231442897407569,0.058530016192221784,0.04703679083197006
Tuned_LSTM,50.0,64.0,1.0,,,,,0.0005,0.039430466976136426,0.03353484305862869,0.057176327436214015,0.04598168210767218
Tuned_LSTM,50.0,64.0,2.0,,,,,0.001,0.040587193511979744,0.034373494301334094,0.054073864009855706,0.043036556711073995
Tuned_LSTM,50.0,64.0,2.0,,,,,0.0005,0.038724130086097944,0.032871977610214445,0.058783937050071136,0.04737899265080249
Best_LSTM1,50.0,64.0,1.0,0.03703471958088143,0.04657025735384825,0.057828860331787725,,0.0005,,,,
Best_LSTM2,50.0,32.0,2.0,0.03715415435751195,0.03152987754192238,0.059238745394689325,0.047980697817028885,0.001,,,,
