model,lookback,hidden_size,num_layers,rmse,mae,lr
Naive,,,,0.058694823303098324,0.023461145071269587,
MovingAverage_window_5,,,,0.05131216095794401,0.023516169211009533,
LSTM,50.0,64.0,1.0,138.92853252274816,72.57571219724177,
Tuned_LSTM,30.0,32.0,1.0,138.92485384450802,70.93145363733792,0.001
Tuned_LSTM,30.0,32.0,1.0,139.85630856388244,67.95499790343317,0.0005
Tuned_LSTM,30.0,32.0,2.0,138.93285599800936,74.17771091862654,0.001
Tuned_LSTM,30.0,32.0,2.0,139.28985262344938,69.25339890103024,0.0005
Tuned_LSTM,30.0,64.0,1.0,138.71918471322124,73.15772665949018,0.001
Tuned_LSTM,30.0,64.0,1.0,138.8188518353406,69.46104381662722,0.0005
Tuned_LSTM,30.0,64.0,2.0,139.25647602824876,76.00364913494323,0.001
Tuned_LSTM,30.0,64.0,2.0,138.4578959564965,71.42152645514787,0.0005
Tuned_LSTM,50.0,32.0,1.0,139.21496010306493,69.62035564775148,0.001
Tuned_LSTM,50.0,32.0,1.0,140.54811982940905,73.30100094493766,0.0005
Tuned_LSTM,50.0,32.0,2.0,138.5951677275633,72.44904816390009,0.001
Tuned_LSTM,50.0,32.0,2.0,138.77028576087974,70.96529707427956,0.0005
Tuned_LSTM,50.0,64.0,1.0,139.50553456339497,74.65267517765695,0.001
Tuned_LSTM,50.0,64.0,1.0,138.8783753806162,72.32073314607014,0.0005
Tuned_LSTM,50.0,64.0,2.0,139.09030502632498,75.13847029890866,0.001
Tuned_LSTM,50.0,64.0,2.0,138.92853252274816,72.57571219724177,0.0005
